Informazioni cronologiche,Sesso,Quanti anni compi nell'anno corrente 2025?,Qual è l'ultimo titolo di studi che hai conseguito?,Hai mai frequentato un corso universitario o accademico che trattava anche solo in parte di storia medievale?,Regione,Provincia (sigla),Con quali modalità ti informi sul medioevo?,Qual è la tua opinione generale sul medioevo? [Medioevo],Indica la data o il secolo in cui secondo te inizia il medioevo,Perché? Inizio,Indica la data o il secolo in cui secondo te finisce il medioevo,Perché?  Fine, [Feudalesimo],[Superstizione],[Germanico],[Eroico],[Comunale],[Sperimentazione],[Cristiano],[Oscurantismo],[Rinascita],[Decadenza],Quali di questi termini associ più fortemente con la tua idea di medioevo? (Max 5 risposte),[Federico II di Svevia],[Teodorico],[Lorenzo il Magnifico],[Costantino],[Petrarca],[Dante],[Enrico VIII Tudor],[Francesco Hayez],[Leonardo da Vinci],[Martin Lutero],[Giustiniano],[Giotto],[San Francesco],[Sant’Agostino d’Ippona],[Giovanna d’Arco],[Matilde di Canossa],[Carlo Magno],[Riccardo Cuor di Leone],[San Tommaso d’Aquino],[Beato Angelico],Se volessi aggiungere un tuo commento facoltativo su cosa pensi sia il medioevo
29/03/2025 14.26.10,Donna,40-49,Diploma di istruzione liceale,No,Lombardia,Monza e brianza,Non mi informo,Neutrale,600,,700,,5,3,2,3,2,1,5,4,5,3,"Crociate, Caccia alle streghe, Invasioni Barbariche, Vassalli, Peste","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,
29/03/2025 14.29.12,Uomo,20-29,Diploma di istruzione liceale,No,Lombardia,MB,Non mi informo,Neutrale,V Secolo ,,XV Secolo,,5,5,4,3,4,2,3,4,1,3,"Vassalli, Stato pontificio, Caccia alle streghe, Peste, Invenzione della stampa","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",
29/03/2025 14.59.09,Donna,20-29,Laurea magistrale,No,Veneto,TC,Podcast,Neutrale,V secolo d.C.,Caduta dell'impero Romano d'Occidente ,1492,"""Scoperta"" del continente americano",5,5,3,3,3,3,5,4,2,3,"Vassalli, Peste, Caccia alle streghe, Invasioni Barbariche, Stato pontificio",Non conosco il personaggio,Non conosco il personaggio,"Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,
29/03/2025 15.15.35,Uomo,50-59,Diploma di istruzione tecnica,No,Lombardia,MB,Serie TV,Parzialmente negativa,Verso fine 400,Ricordi,Con la scoperta dell'America ,L'ho letto,1,5,3,3,2,2,4,5,2,3,"Vassalli, Repubbliche Marinare, Peste, Caccia alle streghe, Editto di Rotari",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,"No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,
29/03/2025 15.30.38,Donna,30-39,Laurea magistrale,No,Lombardia,VA,"Podcast, Serie TV",Parzialmente positiva,VI,Caduta dell'Impero Romano D'Occidente,1492,Scoperta dell'America,5,5,5,5,5,2,5,3,3,2,"Vassalli, Peste, Stato pontificio, Aratro, Crociate","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"No, non è medievale",
29/03/2025 17.20.02,Non-Binario,20-29,Diploma di istruzione liceale,No,Campania,SA,"Libri, Videogiochi, Serie TV, Giochi di ruolo",Parzialmente negativa,II secolo d.C.,Ricordo che dovrebbe iniziare con una morte importante ma non ricordo quale.,quindicesimo secolo,A quanto so dovrebbe finire con la scoperta dell’america.,4,3,5,5,4,2,5,4,2,3,"Caccia alle streghe, Stato pontificio, Crociate, Peste, Invasioni Barbariche","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,
29/03/2025 17.25.02,Uomo,50-59,Diploma di istruzione tecnica,No,Lombardia,mb,Non mi informo,Parzialmente negativa,400,Fine impero romano,1492,Scoperta dell'america,5,4,3,3,4,1,4,3,2,4,"Crociate, Peste, Vassalli, Stato pontificio",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,
29/03/2025 17.32.58,Uomo,20-29,Laurea triennale,No,Lombardia,Mi,"Libri, Videogiochi, Serie TV, Giochi di ruolo",Neutrale,476 dC,Caduta dell'impero Romano d'Occidente ,1453,Caduta di Costantinopoli ,5,5,2,4,2,1,3,3,4,4,"Vassalli, Crociate","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,Dire che è un epoca oscura non è sempre corretto ma dire il contrario è riduttivo
29/03/2025 17.33.16,Donna,20-29,Diploma di istruzione liceale,Sì,Campania,Av,"Libri, Podcast",Assolutamente positiva,V secolo ,"Il periodo che chiamiamo medioevo inizia dopo la caduta dell’impero romano d’Occidente e le invasioni barbariche, il confine fra età antica e medievale è virtuale come tutti gli altri periodi storici, il cambiamento è graduale.",1492,Il periodo che noi definiamo modernità inizia dopo l’arrivo di colombo in America e l’anno della morte di Lorenzo il magnifico. A partire da questo anno ci sono diversi cambiamenti strutturali in tutta l’Europa a spezzare l’equilibrio che in questi mille anni si era stabilito come la riforma protestante la conseguente controriforma. ,3,2,4,5,5,5,4,1,5,1,"Stato pontificio, Arabi, Peste, Crociate","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Il medioevo è solo un termine di comodo per distinguere in maniera più semplice dei blocchi temporali. Mille anni non possono essere definiti da una stessa parola, soprattutto i mille anni in cui sono state gettate le basi della società così come la conosciamo "
29/03/2025 18.17.28,Uomo,40-49,Laurea magistrale,No,Lombardia,MI,"Libri, Serie TV, Giochi di ruolo",Assolutamente positiva,Secolo V,Dopo fine dal impero romano,1492,Scoperta dell'America,3,2,2,2,2,2,3,2,3,2,"Crociate, Peste, Vassalli, Invenzione della stampa, Scoperta dell’America",Non conosco il personaggio,Non conosco il personaggio,Non conosco il personaggio,"No, non è medievale",Non conosco il personaggio,"Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale",Non conosco il personaggio,Non conosco il personaggio,Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Il periodo che precede l'età Moderna. Moderna.
29/03/2025 18.34.38,Donna,20-29,Diploma di istruzione liceale,Sì,Campania,AV,Libri,Assolutamente negativa,476 d.c,Caduta dell’impero romano d’occidente,1492 d.c,Scoperta dell’America,2,5,2,3,2,3,3,2,2,3,"Peste, Caccia alle streghe","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",
29/03/2025 18.52.47,Donna,40-49,Diploma di istruzione professionale,No,Lombardia,Mi,"Libri, Serie TV, Giochi di ruolo",Parzialmente negativa,450 dc,Dopo la caduta di roma,1400,Prima del rinascimento ,3,3,1,2,1,1,3,3,1,2,"Peste, Caccia alle streghe, Stato pontificio","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","No, non è medievale","Sì, è medievale",
29/03/2025 19.25.45,Uomo,50-59,Diploma di istruzione tecnica,No,Piemonte,Torino,Libri,Parzialmente negativa,467 d.c.,Storia,1492 d.c.,Storia ,5,4,2,1,2,4,5,3,2,3,"Vassalli, Caccia alle streghe, Crociate, Peste, Stato pontificio","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",Decadenza
29/03/2025 19.36.08,Uomo,50-59,Diploma di istruzione tecnica,No,Lombardia,Mi,"Libri, Podcast, Documentari televisivi ",Parzialmente negativa,600,Se l’anno 0 indica la nascita di Cristo dopo 6 secoli mi sembra un lasso di tempo equo per definirlo “medio”.,1400/1500,In quel periodo iniziano le grandi scoperte ,5,1,4,4,3,4,3,4,4,3,"Peste, Scoperta dell’America, Crociate, Repubbliche Marinare, Invasioni Barbariche","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Un importante periodo storico in bilico fra oscurantismo e scoperte 
29/03/2025 19.59.35,Non-Binario,60-69,Diploma di istruzione tecnica,No,Piemonte,To,"Libri, Podcast",Parzialmente negativa,1.000,,1.500,,2,3,1,1,3,1,3,3,2,2,"Peste, Aratro, Caccia alle streghe","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,"No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,Oscuro
29/03/2025 20.17.53,Donna,18-19,Licenza media,No,Lombardia,LO,"Libri, Serie TV",Parzialmente negativa,476 d.C.,è la caduta delľ impero romano ,1492,è la scoperta delľ America e ľ inizio delľ età moderna ,3,4,3,2,4,4,3,1,2,3,"Invasioni Barbariche, Crociate, Stato pontificio, Repubbliche Marinare, Normanni","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,
29/03/2025 20.23.00,Donna,50-59,Laurea magistrale,Sì,Piemonte,To,Non mi informo,Parzialmente negativa,Fine impero romano,,1492,Scoperta dell America ,2,3,2,2,3,1,3,2,1,2,"Crociate, Caccia alle streghe, Vassalli","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Un periodo molto lungo
29/03/2025 20.27.46,Donna,50-59,Laurea magistrale,No,Veneto,TV ,Non mi informo,Parzialmente negativa,476 d.C. ,Cade l'impero romano,1492,Scoperta America ,5,5,5,2,5,1,3,1,1,2,"Peste, Stato pontificio, Invasioni Barbariche, Repubbliche Marinare, Normanni","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Un periodo infausto per molti aspetti ma anche straordinario dal punto di vista culturale ed artistico. 
29/03/2025 21.48.40,Donna,40-49,Diploma di istruzione professionale,No,Lombardia,Mi,Libri,Assolutamente negativa,1700,Periodo storico che ricordo,1800,Perché poi inizialmente il millennio,3,1,1,2,1,2,2,2,2,2,"Stato pontificio, Invenzione della stampa, Savoia, Peste, Caccia alle streghe","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale",
30/03/2025 8.54.52,Uomo,50-59,Diploma di istruzione tecnica,No,Lombardia,Mb,Serie TV,Assolutamente negativa,Dal 450dc circa,Ricordi scuola,"1500,dc",Mi ricordo basso medioevo e alto medioevo ,5,4,3,3,4,2,3,3,3,2,"Invasioni Barbariche, Caccia alle streghe, Scoperta dell’America, Crociate, Peste","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Periodo scuro ma richiamo di ritornarci in qualche modo
30/03/2025 10.17.48,Donna,20-29,Laurea triennale,No,Lombardia,MI,"Libri, Podcast",Neutrale,476 d.C,Il medioevo inizia con la caduta dell’Impero romano d’Occidente,1492,Finisce con la scoperta dell’America,4,5,5,3,3,3,4,5,2,3,"Caccia alle streghe, Stato pontificio, Scoperta dell’America, Peste","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",
30/03/2025 10.45.59,Donna,18-19,Licenza media,No,Emilia Romagna,RE,Libri,Neutrale,476,perché indica la fine dell impero romano d’occidente ,1942,perché è stata scoperta l America,5,5,2,3,1,4,2,2,2,3,"Scoperta dell’America, Caccia alle streghe, Repubbliche Marinare, Peste, Crociate","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,"No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,un epoca di stallo 
30/03/2025 10.47.19,Uomo,40-49,Diploma di istruzione professionale,No,Emilia Romagna,RE,"Libri, Podcast",Neutrale,476 d.C,caduta impero romano d’Occidente ,1492,scoperta dell’America ,3,3,3,3,3,3,4,3,3,2,"Invasioni Barbariche, Stato pontificio, Peste, Caccia alle streghe, Vassalli","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Circa mille anni, con grandi periodi positivi e negativi… guerre, epidemie, ma anche grandi passaggi positivi… "
30/03/2025 12.08.26,Uomo,80+,Diploma di istruzione tecnica,No,Lombardia,Mb,"Libri, Scuola, trasmissioni televisive",Parzialmente positiva,1500-1600,,1800,,5,4,5,3,5,2,5,3,4,2,"Caccia alle streghe, Invenzione della stampa, Crociate, Peste, Scoperta dell’America","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Il medioevo è stato il momento di passaggio dai grossi imperi alla modernizzazione dei tempi, un passaggio per poi vivere meglio "
30/03/2025 12.37.53,Uomo,30-39,Laurea magistrale,Sì,Lombardia,MI,"Libri, Podcast, Video su internet",Parzialmente positiva,476 d.C.,"Con tale data si identifica convenzionalmente la caduta dell'impero romano d'Occidente e la fine della storia antica, perlomeno europea.",1517,"Aldilà delle altre date convenzionali (1453, 1492), l'emergere della riforma luterana, parallelamente alla diffusione della stampa, segna davvero una nuova prospettiva Zazà, sociale e politica destinata a cambiare nettamente l'Europa rispetto ai secoli precedenti.",5,1,4,1,4,3,5,2,4,2,"Normanni, Crociate, Peste, Aratro, Vassalli","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Il medioevo è sicuramente un gran calderone di eventi storico-politici, religiosi ecc... e la sua durata di certo non consente una rigida classificazione come epoca positiva o negativa. Tuttavia, apprezzabile la rivalutazione di questo periodo storico che è stata portata avanti in questi ultimi decenni."
30/03/2025 12.38.57,Uomo,50-59,Laurea magistrale,Sì,Lombardia,MI,Libri,Parzialmente negativa,Quinto d.C.,Crollo Impero Romano d'Occidente ,Quindicesimo ,"Sciopera America, rinascimento ",5,5,3,1,3,1,5,5,1,5,"Vassalli, Normanni, Aratro, Invasioni Barbariche, Caccia alle streghe","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Un periodo di fusione di culture, idee e storie"
30/03/2025 12.42.43,Donna,20-29,Laurea triennale,No,Lombardia,MB,Alcuni video ,Parzialmente negativa,476 d.c.,Uno dello spartiacque della storia è la caduta dell'impero romano,1492,"Per convenzione, in realtà è stato graduale ",5,5,3,1,3,2,5,3,2,1,"Peste, Invasioni Barbariche, Vassalli, Crociate, Stato pontificio","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",
30/03/2025 12.52.35,Donna,20-29,Laurea triennale,No,Emilia Romagna,RE,Non mi informo,Neutrale,1400,,1500,,4,4,3,4,1,1,4,3,2,4,"Stato pontificio, Invasioni Barbariche, Aratro, Crociate",Non conosco il personaggio,Non conosco il personaggio,Non conosco il personaggio,Non conosco il personaggio,"No, non è medievale","No, non è medievale",Non conosco il personaggio,Non conosco il personaggio,"No, non è medievale",Non conosco il personaggio,Non conosco il personaggio,"No, non è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,
30/03/2025 12.56.09,Donna,20-29,Licenza media,No,Emilia Romagna,Re,Non mi informo,Neutrale,1100,,1400,,3,3,3,3,4,3,3,3,3,3,"Peste, Crociate, Vassalli, Aratro, Invasioni Barbariche","No, non è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"No, non è medievale",Non conosco il personaggio,"No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,Non conosco il personaggio,
30/03/2025 13.32.27,Uomo,50-59,Laurea triennale,No,Abruzzo,PE,"Libri, Serie TV, Manifestazioni a tema",Parzialmente negativa,6 secolo,Fine dell'Impero romano,15 secolo,Inizio delle esplorazioni fuori dall'europa e dell'utilizzo di metodi scientifici,5,5,4,3,4,2,4,5,3,4,"Arabi, Peste, Crociate, Normanni, Caccia alle streghe","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Un lungo periodo di stasi nella evoluzione culturale dell'Europa
30/03/2025 14.43.24,Donna,20-29,Diploma di istruzione professionale,No,Emilia Romagna,RE,Libri,Parzialmente positiva,.,,.,,3,3,2,3,1,4,2,2,4,3,"Peste, Crociate, Caccia alle streghe","Sì, è medievale",Non conosco il personaggio,"No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,Non conosco il personaggio,Non conosco il personaggio,
30/03/2025 14.51.52,Donna,20-29,Laurea triennale,No,Friuli Venezia Giulia,PN,"Libri, Podcast, Siti Internet (principalmente Wikipedia), articoli di giornale ",Neutrale,VIII secolo dc ,Caduta dell’impero romano d’Occidente ,1492,Con la scoperta dell’America si fa coincidere la fine del medioevo anche se è più che altro una convenzione ,5,4,5,4,5,3,4,4,2,3,"Invenzione della stampa, Caccia alle streghe, Peste, Vassalli, Crociate","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Penso che sia un periodo storico molto affascinante, ma anche demonizzato. Sicuramente la percezione che abbiamo oggi di un’epoca buia e superstiziosa è quantomeno romanzata. So che nell’ottocento c’è stato un revisionismo storico del medioevo e tante cose che oggi associamo al periodo medievale sono in realtà un’invenzione postuma, ma più di questo non so. Buona fortuna per la tesi :) "
30/03/2025 15.15.15,Donna,50-59,Diploma di istruzione professionale,No,Emilia Romagna,Reggio Emilia ,Non mi informo,Parzialmente negativa,5oo DC ,,1500,,5,5,1,2,2,1,3,5,1,1,"Crociate, Caccia alle streghe, Scoperta dell’America","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale",
30/03/2025 16.02.30,Donna,20-29,Diploma di istruzione liceale,No,Abruzzo,PE,"Libri, Podcast, Serie TV, Internet",Parzialmente negativa,473 d.C. circa,Caduta dell'impero romano d'occidente,1492 d.C. circa,"Scoperta dell'america, inizio rinascimento",5,5,3,4,5,1,5,4,3,3,"Caccia alle streghe, Crociate, Stato pontificio, Vassalli","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,
30/03/2025 16.05.15,Uomo,50-59,Laurea magistrale,No,Abruzzo,CH,"Podcast, youtube",Neutrale,300 dc,Questo immagino,1492,Scoperta dell'America ,5,5,1,1,5,1,5,5,1,1,"Vassalli, Peste, Caccia alle streghe, Invasioni Barbariche, Repubbliche Marinare","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",Nulla da aggiungere
30/03/2025 17.46.56,Donna,30-39,Diploma di istruzione professionale,No,Emilia Romagna,Re,Libri,Neutrale,Dal 476,Perché finì l impero romano d'Occidente ,1495,Perché c è la scoperta dell'America ,4,3,3,4,4,4,4,1,5,4,"Repubbliche Marinare, Scoperta dell’America","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale",
